sample-id,input,filtered,percentage of input passed filter,denoised,merged,percentage of input merged,non-chimeric,percentage of input non-chimeric
#q2:types,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
miami25-1-1,144257,141285,97.94,140384,139279,96.55,128482,89.06
miami25-1-1-6-neg,17282,16507,95.52,16408,16281,94.21,15123,87.51
miami25-1-10,126487,124256,98.24,123207,121202,95.82,113018,89.35
miami25-1-11,253014,247165,97.69,244655,241885,95.6,234141,92.54
miami25-1-12,56652,55550,98.05,54478,53608,94.63,52425,92.54
miami25-1-13,88670,86356,97.39,84538,82757,93.33,78469,88.5
miami25-1-14,76712,74944,97.7,73372,71575,93.3,69245,90.27
miami25-1-15,69311,67215,96.98,66172,64967,93.73,62287,89.87
miami25-1-16,179862,174129,96.81,171432,168373,93.61,163746,91.04
miami25-1-16-24-neg,4606,4085,88.69,4083,4069,88.34,4004,86.93
miami25-1-17,157688,153704,97.47,151630,148976,94.48,145695,92.39
miami25-1-18,38365,37424,97.55,36605,35893,93.56,35058,91.38
miami25-1-19,68891,67266,97.64,66882,66579,96.64,62697,91.01
miami25-1-2,130857,127992,97.81,127142,126192,96.44,116395,88.95
miami25-1-20,28594,27993,97.9,27674,27377,95.74,26743,93.53
miami25-1-21,124870,122291,97.93,121586,120551,96.54,112347,89.97
miami25-1-22,37881,36928,97.48,36328,36031,95.12,34941,92.24
miami25-1-23,56360,55175,97.9,54179,53223,94.43,52156,92.54
miami25-1-24,29117,28545,98.04,28242,27874,95.73,27119,93.14
miami25-1-25,109082,106646,97.77,103826,101106,92.69,97736,89.6
miami25-1-25-33-neg,37497,33936,90.5,33917,33881,90.36,32335,86.23
miami25-1-26,192843,188156,97.57,185576,181729,94.24,169216,87.75
miami25-1-27,131339,128228,97.63,125476,122926,93.59,118308,90.08
miami25-1-28,45712,44582,97.53,44221,43727,95.66,42088,92.07
miami25-1-29,100711,98585,97.89,98012,97177,96.49,92948,92.29
miami25-1-3,85585,83560,97.63,82964,82156,95.99,74427,86.96
miami25-1-30,31593,31022,98.19,30747,30486,96.5,29526,93.46
miami25-1-31,106416,103598,97.35,102067,100322,94.27,95523,89.76
miami25-1-32,113945,111869,98.18,109874,107732,94.55,103410,90.75
miami25-1-33,130806,127913,97.79,125222,121343,92.77,117344,89.71
miami25-1-34,45057,44142,97.97,43274,42477,94.27,41494,92.09
miami25-1-34-C2-neg,198008,193858,97.9,192475,190775,96.35,178742,90.27
miami25-1-35,158753,155341,97.85,153212,150570,94.85,140691,88.62
miami25-1-36,162248,158873,97.92,156694,154417,95.17,144796,89.24
miami25-1-37,99940,97454,97.51,96895,95749,95.81,82362,82.41
miami25-1-38,178095,173485,97.41,172869,171427,96.26,149400,83.89
miami25-1-39,97793,95721,97.88,95243,93793,95.91,82802,84.67
miami25-1-4,122271,119471,97.71,116816,114827,93.91,110863,90.67
miami25-1-5,164051,160877,98.07,157809,154236,94.02,146018,89.01
miami25-1-6,19969,19468,97.49,19204,19056,95.43,18565,92.97
miami25-1-7,26182,25620,97.85,25438,25099,95.86,23553,89.96
miami25-1-7-15-neg,17620,16217,92.04,16185,16054,91.11,15530,88.14
miami25-1-8,75786,74214,97.93,73792,73354,96.79,69149,91.24
miami25-1-9,91170,89167,97.8,88671,87756,96.26,83682,91.79
miami25-1-C1,16357,15533,94.96,15136,14668,89.67,14490,88.59
miami25-1-C2,83231,81361,97.75,80601,79417,95.42,73763,88.62
miami25-2-1,149866,146702,97.89,146131,145200,96.89,136613,91.16
miami25-2-1-6-neg,0,0,0,0,0,0,0,0
miami25-2-10,82350,80523,97.78,80070,79105,96.06,71248,86.52
miami25-2-11,149085,145944,97.89,144447,142530,95.6,138256,92.74
miami25-2-12,89504,87700,97.98,86418,85207,95.2,82789,92.5
miami25-2-13,99959,97589,97.63,96175,94049,94.09,87639,87.67
miami25-2-14,42432,41596,98.03,40717,39890,94.01,38434,90.58
miami25-2-15,93827,90522,96.48,89366,87722,93.49,82356,87.77
miami25-2-16,143146,139163,97.22,137526,135939,94.97,130933,91.47
miami25-2-17,172046,167719,97.48,165987,163468,95.01,156229,90.81
miami25-2-18,137605,134718,97.9,132913,131217,95.36,124475,90.46
miami25-2-19,59118,57699,97.6,57389,57074,96.54,52626,89.02
miami25-2-2,31735,30951,97.53,30709,30587,96.38,28503,89.82
miami25-2-20,118144,115569,97.82,115076,114522,96.93,110507,93.54
miami25-2-21,130231,127581,97.97,127113,125909,96.68,116805,89.69
miami25-2-22,93766,91760,97.86,91054,90285,96.29,87696,93.53
miami25-2-23,97823,95783,97.91,94726,93592,95.67,92567,94.63
miami25-2-24,160716,156953,97.66,156092,154411,96.08,146534,91.18
miami25-2-25,155022,151620,97.81,148117,144019,92.9,136279,87.91
miami25-2-26,144729,141200,97.56,139216,136613,94.39,123954,85.65
miami25-2-27,126187,123392,97.79,120997,118973,94.28,112940,89.5
miami25-2-28,184377,179816,97.53,178921,177612,96.33,168124,91.18
miami25-2-29,159973,155834,97.41,155157,153988,96.26,147966,92.49
miami25-2-3,44172,43262,97.94,42997,42643,96.54,40163,90.92
miami25-2-30,95074,93273,98.11,92582,91675,96.42,87388,91.92
miami25-2-31,253509,248195,97.9,245208,240674,94.94,226735,89.44
miami25-2-32,619505,607159,98.01,600201,589032,95.08,548878,88.6
miami25-2-33,254666,248577,97.61,244371,237594,93.3,225885,88.7
miami25-2-34,141828,138747,97.83,137123,135133,95.28,123600,87.15
miami25-2-35,212094,207223,97.7,205309,201770,95.13,183672,86.6
miami25-2-36,0,0,0,0,0,0,0,0
miami25-2-37,285812,280078,97.99,277809,274223,95.95,249964,87.46
miami25-2-38,285972,278929,97.54,278462,276607,96.73,246793,86.3
miami25-2-39,153431,149962,97.74,149578,148727,96.93,131573,85.75
miami25-2-4,60142,58688,97.58,57474,56360,93.71,54814,91.14
miami25-2-5,111030,108680,97.88,107373,105782,95.27,100080,90.14
miami25-2-6,21835,21368,97.86,20921,20629,94.48,20233,92.66
miami25-2-7,106563,104564,98.12,104190,103402,97.03,96204,90.28
miami25-2-7-15-neg,15259,14131,92.61,14081,13977,91.6,13736,90.02
miami25-2-8,148415,144941,97.66,144485,143574,96.74,134908,90.9
miami25-2-9,129847,126908,97.74,126339,125542,96.68,120354,92.69
miami25-2-C1,200773,189858,94.56,189076,187066,93.17,175045,87.19
miami25-2-C2,221336,215912,97.55,214333,210435,95.07,188980,85.38
miami25-3-1,267340,261725,97.9,260572,258215,96.59,237633,88.89
miami25-3-10,48766,43574,89.35,42441,40249,82.53,38074,78.07
miami25-3-11,349418,339802,97.25,338096,334053,95.6,313622,89.76
miami25-3-12,176641,169075,95.72,167561,164971,93.39,154018,87.19
miami25-3-13,88566,84906,95.87,83578,81751,92.31,69594,78.58
miami25-3-14,145441,139708,96.06,137797,134351,92.37,120807,83.06
miami25-3-15,12752,2812,22.05,2721,2682,21.03,1199,9.4
miami25-3-16,238215,229683,96.42,226539,222897,93.57,217212,91.18
miami25-3-17,300535,290949,96.81,288393,284275,94.59,269038,89.52
miami25-3-18,297431,289992,97.5,286661,282688,95.04,268488,90.27
miami25-3-19,288080,281191,97.61,279951,277790,96.43,252806,87.76
miami25-3-2,229834,224167,97.53,223356,221128,96.21,199397,86.76
miami25-3-20,113121,110675,97.84,110375,109610,96.9,105443,93.21
miami25-3-21,213711,208282,97.46,207085,204908,95.88,185942,87.01
miami25-3-22,159602,155904,97.68,155050,153809,96.37,148218,92.87
miami25-3-23,268004,262313,97.88,260405,257414,96.05,248533,92.73
miami25-3-24,150032,147433,98.27,146328,144708,96.45,136898,91.25
miami25-3-25,282168,277333,98.29,272085,265801,94.2,251269,89.05
miami25-3-26,255851,250021,97.72,246391,242245,94.68,225388,88.09
miami25-3-27,209447,204129,97.46,201534,197869,94.47,175641,83.86
miami25-3-28,197858,193831,97.96,192692,190502,96.28,175941,88.92
miami25-3-29,168338,164559,97.76,163339,161507,95.94,152521,90.6
miami25-3-3,208342,203464,97.66,202441,200555,96.26,182736,87.71
miami25-3-30,243890,237894,97.54,236710,234304,96.07,220800,90.53
miami25-3-31,372325,363295,97.57,358479,351084,94.3,328709,88.29
miami25-3-32,270696,264456,97.69,260989,256250,94.66,246709,91.14
miami25-3-33,162911,159742,98.05,156233,151498,92.99,147159,90.33
miami25-3-34,225776,220872,97.83,219247,216127,95.73,188000,83.27
miami25-3-35,110360,107797,97.68,106736,104812,94.97,93400,84.63
miami25-3-36,144211,141095,97.84,139718,137575,95.4,125281,86.87
miami25-3-37,122770,119980,97.73,119761,119194,97.09,108068,88.02
miami25-3-38,181757,177879,97.87,177525,176617,97.17,159373,87.68
miami25-3-39,132146,129053,97.66,128741,127761,96.68,116130,87.88
miami25-3-4,617881,603877,97.73,597751,585987,94.84,545496,88.28
miami25-3-5,203440,199070,97.85,196762,193152,94.94,176298,86.66
miami25-3-6,207625,202673,97.61,200015,196444,94.61,179746,86.57
miami25-3-7,70222,68719,97.86,68400,67646,96.33,62193,88.57
miami25-3-8,106014,103934,98.04,103759,103119,97.27,95883,90.44
miami25-3-9,109708,107438,97.93,107191,106438,97.02,100311,91.43
miami25-3-C1,170951,156713,91.67,156141,154180,90.19,144210,84.36
miami25-3-C2,274920,266664,97,265454,261213,95.01,225607,82.06
miami25-1-41,43933,40957,93.23,39239,34335,78.15,32034,72.92
miami25-1-42,129914,127730,98.32,124596,120619,92.85,115463,88.88
miami25-1-43,75827,72728,95.91,70262,66835,88.14,62227,82.06
miami25-1-44,103909,100082,96.32,96599,90559,87.15,81184,78.13
miami25-1-45,55139,46176,83.74,44420,42570,77.2,38140,69.17
miami25-1-46,43822,43198,98.58,41863,40689,92.85,39439,90
miami25-1-47-9,121095,119155,98.4,116797,114072,94.2,110020,90.85
miami25-1-48-9,58570,52863,90.26,51895,50759,86.66,49910,85.21
miami25-1-49,43324,42581,98.29,41072,39743,91.73,38282,88.36
miami25-1-50-99,77870,76015,97.62,74194,72097,92.59,67844,87.12
miami25-1-51,26225,24660,94.03,23545,22349,85.22,21184,80.78
miami25-1-52,55188,54228,98.26,52416,50483,91.47,47808,86.63
miami25-1-53,98676,96503,97.8,94216,88064,89.25,81157,82.25
miami25-2-41,222054,216316,97.42,211004,204304,92.01,189698,85.43
miami25-2-42,251166,246374,98.09,241784,234685,93.44,223754,89.09
miami25-2-43,127419,125489,98.49,121855,117168,91.95,110757,86.92
miami25-2-44,86458,84938,98.24,81960,77885,90.08,74809,86.53
miami25-2-45,138647,132019,95.22,128954,123826,89.31,115937,83.62
miami25-2-46,100500,99327,98.83,96857,93794,93.33,90653,90.2
miami25-2-47,72575,71493,98.51,69624,67483,92.98,64402,88.74
miami25-2-48,39749,38536,96.95,37401,35932,90.4,34754,87.43
miami25-2-49,173188,170942,98.7,167152,162026,93.55,153831,88.82
miami25-2-50-99,124728,122419,98.15,119801,116317,93.26,110305,88.44
miami25-2-51,105153,103466,98.4,100614,96886,92.14,91819,87.32
miami25-2-52,103974,102324,98.41,99331,96178,92.5,91767,88.26
miami25-2-53,109179,107636,98.59,104851,98865,90.55,92935,85.12
miami25-3-41,156368,147058,94.05,142439,134919,86.28,120512,77.07
miami25-3-42,140115,137789,98.34,134562,130527,93.16,125117,89.3
miami25-3-43,154685,150390,97.22,146260,139947,90.47,128412,83.02
miami25-3-44,29919,29124,97.34,27739,26002,86.91,25006,83.58
miami25-3-45,37238,35932,96.49,34761,33261,89.32,32043,86.05
miami25-3-46,174958,172576,98.64,168984,164550,94.05,157417,89.97
miami25-3-47,118365,103413,87.37,101631,97217,82.13,87859,74.23
miami25-3-48-9,139870,128701,92.01,127472,125407,89.66,121999,87.22
miami25-3-49,125893,122087,96.98,119064,114108,90.64,105165,83.54
miami25-3-50-99,66752,65328,97.87,63565,61523,92.17,58250,87.26
miami25-3-51,212752,208332,97.92,203079,195967,92.11,175187,82.34
miami25-3-52,161489,159676,98.88,155471,150599,93.26,142368,88.16
miami25-3-53,67969,67260,98.96,65363,61558,90.57,58551,86.14
